5 522 419 942 838 313 941 1047 838 625 1874 1361 419 418 733 1466 733 2200 1675 837 313
10 2516 1153 2516 1363 2304 8972 9826 3344 7641 4712 1153 2721 418 2203 732 3143 19683 831 2309 3144
15 3464 4300 28413 5245 3360 3551 7095 3129 3450 6904 2514 7236 9224 6921 15525 11182 2294 12271 4200 3881
20 7023 10085 10064 5948 2815 14453 10637 15786 9543 20827 22607 7880 3776 9988 4943 13724 7374 11821 8688 11209
25 5781 15659 17424 6834 26816 12834 48365 9005 11528 9487 12019 7580 11787 7784 30772 39964 4321 19360 11800 17650
30 10459 19106 36234 23216 12566 26991 14176 11716 17941 25254 19019 16744 43260 35729 8122 14576 7923 13518 16507 21724
35 41242 96762 21917 55520 38110 23459 13584 85212 44472 18785 27378 26876 13478 35293 14114 44019 18838 21671 59160 1068
40 87189 21074 36546 22375 14031 58793 34066 37912 32512 88303 63075 15665 42226 17223 102258 38226 28079 28888 37960 36256
